"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"БД Лб ФІЛІЯ_1 ПІ-13-5","09.02.2015","14:55:00","09.02.2015","16:30:00","Ложь","Истина","09.02.2015","14:50:00","2","Обычная","БД Лб ФІЛІЯ_1 ПІ-13-5","Обычный"
"КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","10.02.2015","07:45:00","10.02.2015","09:20:00","Ложь","Истина","10.02.2015","07:40:00","2","Обычная","КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"АК Пз 165-5 ПІ-13-5","14.04.2015","07:45:00","14.04.2015","09:20:00","Ложь","Истина","14.04.2015","07:40:00","2","Обычная","АК Пз 165-5 ПІ-13-5","Обычный"
"ЕлДо Лб 366 ПІ-13-5","21.04.2015","07:45:00","21.04.2015","09:20:00","Ложь","Истина","21.04.2015","07:40:00","2","Обычная","ЕлДо Лб 366 ПІ-13-5","Обычный"
"АК Конс 308и ПІ-13-5","05.05.2015","07:45:00","05.05.2015","09:20:00","Ложь","Истина","05.05.2015","07:40:00","2","Обычная","АК Конс 308и ПІ-13-5","Обычный"
"АК Конс 310и ПІ-13-5","26.05.2015","07:45:00","26.05.2015","09:20:00","Ложь","Истина","26.05.2015","07:40:00","2","Обычная","АК Конс 310и ПІ-13-5","Обычный"
"БД Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","03.02.2015","09:30:00","03.02.2015","11:05:00","Ложь","Истина","03.02.2015","09:25:00","2","Обычная","БД Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","10.02.2015","09:30:00","10.02.2015","11:05:00","Ложь","Истина","10.02.2015","09:25:00","2","Обычная","БД Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"ЕлДо Лк 102и ПІ-13-1,2,3,4,5,6","17.02.2015","09:30:00","17.02.2015","11:05:00","Ложь","Истина","17.02.2015","09:25:00","2","Обычная","ЕлДо Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ЕлДо Лк 102и ПІ-13-1,2,3,4,5,6","24.02.2015","09:30:00","24.02.2015","11:05:00","Ложь","Истина","24.02.2015","09:25:00","2","Обычная","ЕлДо Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ЕлДо Лк 102и ПІ-13-1,2,3,4,5,6","03.03.2015","09:30:00","03.03.2015","11:05:00","Ложь","Истина","03.03.2015","09:25:00","2","Обычная","ЕлДо Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ЕлДо Лк 102и ПІ-13-1,2,3,4,5,6","17.03.2015","09:30:00","17.03.2015","11:05:00","Ложь","Истина","17.03.2015","09:25:00","2","Обычная","ЕлДо Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ЕлДо Лк 102и ПІ-13-1,2,3,4,5,6","24.03.2015","09:30:00","24.03.2015","11:05:00","Ложь","Истина","24.03.2015","09:25:00","2","Обычная","ЕлДо Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Конс 206и ПІ-13-5","31.03.2015","09:30:00","31.03.2015","11:05:00","Ложь","Истина","31.03.2015","09:25:00","2","Обычная","ОС Конс 206и ПІ-13-5","Обычный"
"ЕлДо Конс 149 ПІ-13-5","14.04.2015","09:30:00","14.04.2015","11:05:00","Ложь","Истина","14.04.2015","09:25:00","2","Обычная","ЕлДо Конс 149 ПІ-13-5","Обычный"
"ЕлДо Лб 366 ПІ-13-5","21.04.2015","09:30:00","21.04.2015","11:05:00","Ложь","Истина","21.04.2015","09:25:00","2","Обычная","ЕлДо Лб 366 ПІ-13-5","Обычный"
"ОС Конс 287 ПІ-13-5","28.04.2015","09:30:00","28.04.2015","11:05:00","Ложь","Истина","28.04.2015","09:25:00","2","Обычная","ОС Конс 287 ПІ-13-5","Обычный"
"ОС Конс 287 ПІ-13-5","05.05.2015","09:30:00","05.05.2015","11:05:00","Ложь","Истина","05.05.2015","09:25:00","2","Обычная","ОС Конс 287 ПІ-13-5","Обычный"
"КПЗ Конс 314и ПІ-13-5","26.05.2015","09:30:00","26.05.2015","11:05:00","Ложь","Истина","26.05.2015","09:25:00","2","Обычная","КПЗ Конс 314и ПІ-13-5","Обычный"
"Філ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","03.02.2015","11:15:00","03.02.2015","12:50:00","Ложь","Истина","03.02.2015","11:10:00","2","Обычная","Філ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","17.02.2015","11:15:00","17.02.2015","12:50:00","Ложь","Истина","17.02.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","24.02.2015","11:15:00","24.02.2015","12:50:00","Ложь","Истина","24.02.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","03.03.2015","11:15:00","03.03.2015","12:50:00","Ложь","Истина","03.03.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","10.03.2015","11:15:00","10.03.2015","12:50:00","Ложь","Истина","10.03.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","17.03.2015","11:15:00","17.03.2015","12:50:00","Ложь","Истина","17.03.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","24.03.2015","11:15:00","24.03.2015","12:50:00","Ложь","Истина","24.03.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","31.03.2015","11:15:00","31.03.2015","12:50:00","Ложь","Истина","31.03.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","07.04.2015","11:15:00","07.04.2015","12:50:00","Ложь","Истина","07.04.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","14.04.2015","11:15:00","14.04.2015","12:50:00","Ложь","Истина","14.04.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","21.04.2015","11:15:00","21.04.2015","12:50:00","Ложь","Истина","21.04.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","28.04.2015","11:15:00","28.04.2015","12:50:00","Ложь","Истина","28.04.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","05.05.2015","11:15:00","05.05.2015","12:50:00","Ложь","Истина","05.05.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","12.05.2015","11:15:00","12.05.2015","12:50:00","Ложь","Истина","12.05.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","19.05.2015","11:15:00","19.05.2015","12:50:00","Ложь","Истина","19.05.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","26.05.2015","11:15:00","26.05.2015","12:50:00","Ложь","Истина","26.05.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 106и ПІ-13-1,2,3,4,5,6","02.06.2015","11:15:00","02.06.2015","12:50:00","Ложь","Истина","02.06.2015","11:10:00","2","Обычная","АК Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","03.02.2015","13:10:00","03.02.2015","14:45:00","Ложь","Истина","03.02.2015","13:05:00","2","Обычная","КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"ФВх Пз спорт2 ПІ-13-5","17.02.2015","13:10:00","17.02.2015","14:45:00","Ложь","Истина","17.02.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","24.02.2015","13:10:00","24.02.2015","14:45:00","Ложь","Истина","24.02.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","03.03.2015","13:10:00","03.03.2015","14:45:00","Ложь","Истина","03.03.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","10.03.2015","13:10:00","10.03.2015","14:45:00","Ложь","Истина","10.03.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","17.03.2015","13:10:00","17.03.2015","14:45:00","Ложь","Истина","17.03.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","24.03.2015","13:10:00","24.03.2015","14:45:00","Ложь","Истина","24.03.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","31.03.2015","13:10:00","31.03.2015","14:45:00","Ложь","Истина","31.03.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","07.04.2015","13:10:00","07.04.2015","14:45:00","Ложь","Истина","07.04.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","14.04.2015","13:10:00","14.04.2015","14:45:00","Ложь","Истина","14.04.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","21.04.2015","13:10:00","21.04.2015","14:45:00","Ложь","Истина","21.04.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","28.04.2015","13:10:00","28.04.2015","14:45:00","Ложь","Истина","28.04.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
